document,hunk,tag,old_lines,new_lines,category,old_excerpt,new_excerpt
main,11,replace,640-640,640-640,AFFECTED_EXPERIMENT_UPDATE,"An independent selector-variation study uses 20 fresh selector seeds per dataset over the same 378 streams: 7,560 selector--stream conditions and 30,240 method runs. Selector seed is the outer inferential unit, subsets are nested within seed, and analysis uses seed-mean exact two-sided sign-flip tes","An independent selector-variation study uses 20 fresh selector seeds per dataset over the same 378 streams: 7,560 selector--stream conditions and 30,240 method-run records. Dog LIR-PPTD is recomputed under the final geometry scale for all 2,000 Dog selector runs; Product, Duck, and Weather are retai"
main,12,replace,642-642,642-643,ARTIFACT_PROVENANCE,"\noindent\textit{Reproducibility.}\quad A separately archived 211-file reproducibility artifact binds the exact source/configuration snapshot and hashed evidence for all reported experiment families; active selector material, raw NetEaseCrowd source data, and cloud credentials are excluded."," | \noindent\textit{Reproducibility.}\quad A separately archived reproducibility artifact binds the exact source/configuration snapshot and hashed evidence for all reported experiment families; active selector material, raw NetEaseCrowd source data, and cloud credentials are excluded."
main,13,replace,655-656,656-657,AFFECTED_EXPERIMENT_UPDATE,"\noindent\textit{Robustness to Calibration-Selector Variation.}\label{sec:vi-b-selector}\quad | All 30,240 runs complete. Across 20 independent selector seeds per dataset, LIR-PPTD has lower mean loss in 19/20 cells against each CRH/PPTD; 18 of the 19 gains remain Holm significant, with one significan","\noindent\textit{Robustness to Calibration-Selector Variation.}\quad | Across 20 independent selector seeds per dataset, the geometry-final merged study contains 30,240 method runs with no failed Dog rerun or selector-mask provenance mismatch. LIR-PPTD has lower selector-averaged mean loss in 19/20 ce"
main,14,replace,684-684,685-685,AFFECTED_EXPERIMENT_UPDATE,"Historical reputation is the most consistent component: Full beats No-HR in 11/12 cells, all significant, with only a nonsignificant Duck deficit at $\rho_m=0.3$. Full/No-CW tie in all nine categorical cells and Full has 3/0 Weather wins/losses, showing task-dependent current consistency. Full also ","Historical reputation is the most consistent component: Full beats No-HR in 11/12 cells, all significant, with only a nonsignificant Duck deficit at $\rho_m=0.3$. Full/No-CW tie in all nine categorical cells and Full has 3/0 Weather wins/losses, showing task-dependent current consistency. Full also "
main,15,replace,694-694,695-695,AFFECTED_EXPERIMENT_UPDATE,"At $\rho_m=0.7$, Fig.~\ref{fig:vi4-reputation} shows honest/malicious reputation separation on Dog and Weather. Final Full gaps are 0.1185 [0.1153, 0.1218] and 0.3449 [0.3349, 0.3545]; No-EG instead yields -0.2989 [-0.3100, -0.2864] and 0.0136 [0.0011, 0.0254]. No-CW shares Full's persistent traject","At $\rho_m=0.7$, Fig.~\ref{fig:vi4-reputation} shows honest/malicious reputation separation on Dog and Weather. Final Full gaps are 0.1322 [0.1289, 0.1356] and 0.3449 [0.3349, 0.3545]; No-EG instead yields -0.3693 [-0.3810, -0.3565] and 0.0136 [0.0011, 0.0254]. No-CW shares Full's persistent traject"
main,16,replace,699-699,700-700,AFFECTED_EXPERIMENT_UPDATE,\caption{Reputation evolution on Dog and Weather at $\rho_m=0.7$.},\caption{Reputation evolution of Full and No-EG on Dog and Weather at $\rho_m=0.7$.}
main,17,replace,705-705,706-706,AFFECTED_EXPERIMENT_UPDATE,\subsection{Parameter Sensitivity Analysis},\subsection{Parameter Sensitivity Analysis and Calibration Robustness}
main,18,replace,707-707,708-708,AFFECTED_EXPERIMENT_UPDATE,"On Dog/Weather at $\rho_m\in\{0.3,0.7\}$, 20 paired subsets vary one of $K,\lambda_\tau,\kappa,P$ at a time. The first three reuse the fixed $P=20$ mask; for $P\in\{10,20,40\}$, common pseudorandom-function (PRF) scores make $\mathcal R_{40}^{\rm cal}\subseteq\mathcal R_{20}^{\rm cal}\subseteq\mathc","On Dog/Weather at $\rho_m\in\{0.3,0.7\}$, 20 paired subsets vary one of $K,\lambda_\tau,\kappa,P$ at a time under the final geometry-aware scale. The Dog sweeps are newly recomputed with $\tau_r=2\lambda_\tau$; Weather is numerically equivalent to the prior scale because $\operatorname{diam}_2^2([0,"
main,19,replace,709-709,710-710,AFFECTED_EXPERIMENT_UPDATE,"Fig.~\ref{fig:vi5-parameter} shows the one-parameter-at-a-time sensitivity study on Dog and Weather. Iteration depth is stable by $K=5$; $\lambda_\tau$ and calibration freshness have the largest effects, while $\kappa$ is moderately dataset dependent. $P=10$ improves all four evaluated Dog/Weather c","Fig.~\ref{fig:vi5-parameter} shows paired loss changes relative to the frozen default. Dog is invariant over $K\in\{1,3,5,10,20,30\}$ and Weather is effectively converged by $K=5$. The consistency scale and calibration interval have the largest effects: at $\rho_m=0.7$, Dog MacroF1 is 0.3603/0.3480/"
main,20,replace,713-714,714-715,AFFECTED_EXPERIMENT_UPDATE,\includegraphics[width=0.99\columnwidth]{figures/fig_vi_d_parameter_sensitivity_main_tight.png} | \caption{Parameter sensitivity on Dog and Weather.},\includegraphics[width=0.99\columnwidth]{figures/fig_vi_d_parameter_sensitivity_geometry_final.png} | \caption{Parameter sensitivity under the final geometry-aware scale; negative paired loss change favors the varied setting relative to the frozen default.}
main,21,replace,718-720,719-719,AFFECTED_EXPERIMENT_UPDATE,"A 1,200-stream categorical scale study characterizes the $D$ factor in Eq.~\eqref{eq:tau-lambda-parameterization}. Since distinct one-hot vertices always have squared distance 2, $q_{\rm wrong}=D/(D+10)$ at $\lambda_\tau=0.2$ grows from $1/6$ ($D=2$) to $16/21$ ($D=32$). The geometry-normalized alte","We also perturb only the already selected calibration events, without changing attack streams or scoring masks. Fig.~\ref{fig:vi6-calibration-quality} shows monotone degradation under reference corruption and missing authenticated evidence. Across Dog and Weather, all 12 corruption contrasts and all"
main,22,replace,724-725,723-724,GEO_TAU_REQUIRED,\includegraphics[width=\columnwidth]{figures/fig_rrc_calibration_quality_combined.png} | \caption{Sensitivity to corrupted or missing authenticated calibration evidence.},\includegraphics[width=0.99\columnwidth]{figures/fig_vi_d_calibration_robustness_geometry_final.png} | \caption{Sensitivity to corrupted or missing authenticated calibration evidence under the final geometry-aware scale.}
main,23,replace,729-729,728-728,AFFECTED_EXPERIMENT_UPDATE,"Across five fixed task-ID permutations, 39/40 order cells favor LIR-PPTD, 31 significantly, with no significant CRH-favored cell; Duck at $\rho_m=0.3$ is the only mixed regime.","Across five fixed task-ID permutations, 39/40 dataset--ratio--order cells favor LIR-PPTD over CRH, 31 are Holm significant, and no CRH-favored cell is significant. Dog favors LIR-PPTD in all ten geometry-aware order cells, all significant; detailed order results are reported in the Technical Supplem"
main,24,insert,808-807,807-819,AFFECTED_EXPERIMENT_UPDATE,,"\subsection{Domain-Geometry Scaling} | \label{sec:vi-geometry} | The final consistency parameterization in Eq.~\eqref{eq:tau-lambda-parameterization} uses the squared diameter of the legal report domain. It is exactly the prior numerical scale on $[0,1]^D$ and exactly preserves binary one-hot behavior, "
main,25,replace,828-828,840-840,AFFECTED_EXPERIMENT_UPDATE,"Five synthetic families (three numerical, binary categorical, and ambiguous categorical-tie) evaluate persistent, truth-independent random, and phase-balanced on--off attacks over $\rho_m\in\{0,0.1,0.3,0.5,0.7,0.9\}$ with 20 paired seeds. Each 100-task stream has five pre-fixed calibration events an","Five synthetic families (three numerical, binary categorical, and ambiguous categorical-tie) evaluate persistent, truth-independent random, and phase-balanced on--off attacks over $\rho_m\in\{0,0.1,0.3,0.5,0.7,0.9\}$ with 20 paired seeds. Each 100-task stream has five pre-fixed calibration events an"
main,26,replace,830-837,842-842,AFFECTED_EXPERIMENT_UPDATE,"The 1,800 paired evaluations have zero ordinary-persistence violations. For 75 nonzero family--attack--ratio cells, lower-is-better loss uses 10,000 paired bootstrap resamples and exact one-sided sign-flip tests with within-family/attack Holm correction. Define $\Delta L=L_{\rm LIR}-L_{\rm unweighte","The 1,800 paired evaluations have zero ordinary-persistence violations. For 75 nonzero family--attack--ratio cells, lower-is-better loss uses 10,000 paired bootstrap resamples and exact one-sided sign-flip tests with within-family/attack Holm correction. Define $\Delta L=L_{\rm LIR}-L_{\rm unweighte"
main,27,replace,856-856,861-861,AFFECTED_EXPERIMENT_UPDATE,LIR-PPTD attains equal-capability macro Accuracy/MacroF1 0.9119/0.8932 versus 0.9097/0.8907 for COWA and 0.8946/0.8718 for No-HR. It records higher point estimates than No-HR in all six capabilities on both metrics and than COWA in five of six; capability 52 is the exception (COWA 0.8950/0.8896 vers,"LIR-PPTD attains equal-capability macro Accuracy/MacroF1 0.9115/0.8930 versus 0.9100/0.8906 for COWA and 0.8946/0.8718 for No-HR. It records higher point estimates than No-HR in all six capabilities on both metrics and than COWA in four of six. A 10,000-resample native-taskset cluster bootstrap give"
main,28,replace,861-861,866-866,AFFECTED_EXPERIMENT_UPDATE,"A participant is cold when it has no prior authenticated update in the capability; a task is history-complete when its cold fraction $\phi_r^{\rm cold}=0$. On history-complete tasks, LIR-PPTD records higher point estimates than No-HR on both metrics in 6/6 capabilities and than COWA in 5/6, again ex","A participant is cold when it has no prior authenticated update in the capability; a task is history-complete when its cold fraction $\phi_r^{\rm cold}=0$. On history-complete tasks, LIR-PPTD records higher point estimates than No-HR on both metrics in 6/6 capabilities and than COWA in 4/6 (Fig.~\re"
main,29,replace,863-863,868-868,AFFECTED_EXPERIMENT_UPDATE,"Across ten nontrivial 30-day windows, LIR-PPTD is favored over No-HR on both metrics in 9/10 and over COWA in 7/10. Capability 50 shows increasing No-HR Accuracy gains of +0.0046 $\rightarrow$ +0.0205 $\rightarrow$ +0.0548 across successive windows. Fig.~\ref{fig:p1c-longitudinal} summarizes the tem","Across the six nondegenerate 30-day bins in capabilities 50 and 53 (excluding the single-task capability-53 bin 6), the two reported metrics yield 12 bin--metric comparisons. LIR-PPTD is favored over No-HR in 10/12 and over COWA in 8/12. Capability 50 shows increasing No-HR Accuracy gains of +0.0043"
main,30,replace,876-876,881-881,FIXED_POINT_MPC_SYNC,"The theoretical analysis establishes fixed-point protocol correctness, bounded and order-preserving reputation evolution, multi-epoch separation, privacy, availability, and sufficient conditions connecting authenticated reputation to ordinary-task influence. Across four adversarial benchmarks, LIR-P","The theoretical analysis establishes fixed-point protocol correctness, bounded and order-preserving reputation evolution, multi-epoch separation, privacy, availability, and sufficient conditions connecting authenticated reputation to ordinary-task influence. Across four adversarial benchmarks, LIR-P"
supplement,1,replace,19-19,19-19,ARTIFACT_PROVENANCE,\externaldocument[M-]{LIR-PPTD_TMC_Submission_Candidate_v1.6_NarrativeRefinement},\externaldocument[M-]{LIR-PPTD_TMC_Submission_Candidate_GEO_TAU_C12}
supplement,2,replace,51-51,51-51,GEO_TAU_REQUIRED,"High-dimensional categorical $\tau$ scaling & One-hot distance identity; 1,200-stream dimension-scaling analysis; tie-sensitive release behavior; intrinsic-geometry invariance; 12/12 high-$D$ reputation-gap materiality. & Main Sec.~\ref{M-sec:vi-d}; Appendix~\ref{app:sec:c9-categorical-scale} \\","Domain-geometry consistency scaling & Public squared-domain-diameter rule; one-hot distance identity; 1,200-stream paired validation against ambient-dimension scaling; tie-sensitive release behavior; dimension-invariant calibration/reputation geometry. & Main Sec.~\ref{M-sec:vi-geometry}; Appendix~\"
supplement,3,replace,53-53,53-53,AFFECTED_EXPERIMENT_UPDATE,"Selector-mask uncertainty & Twenty outcome-independent selector seeds per dataset, selector-seed outer inference, nested malicious-subset bootstrap, Duck small-count distribution, and comparator-specific aggregate stability. & Appendix~\ref{app:sec:selector-seed-audit} \\","Selector-mask uncertainty & Twenty outcome-independent selector seeds per dataset, selector-seed outer inference, nested malicious-subset bootstrap, geometry-final Dog rerun, and comparator-specific aggregate stability. & Appendix~\ref{app:sec:selector-seed-audit} \\"
supplement,4,replace,85-85,85-85,ARTIFACT_PROVENANCE,"The final public manifest contains 211 files. It includes the canonical B1 raw/summary evidence; B2, equal-information COWA, VI-C, VI-D, and VI-D2 result families and runners; VI-E matched arithmetic and external-kernel measurements; the MP-SPDZ program, orchestration/configuration material, and 200","The final public manifest binds the geometry-integrated source and evidence snapshot. It includes the geometry-aware implementation, canonical B1/B2/VI-C evidence, the equal-information behavior-switch study, the domain-geometry scaling study, VI-E matched arithmetic and external-kernel measurements"
supplement,5,replace,87-87,87-87,ARTIFACT_PROVENANCE,"The artifact validator checks archive structure, manifest file count, every manifest-listed file size and SHA-256 digest, all required evidence-family paths, the recorded B1 and multi-selector hashes, and multi-selector execution semantics. The public archive passes all checks with no missing family","The artifact validator checks archive structure, manifest file count, every manifest-listed file size and SHA-256 digest, and the required geometry-aware evidence-family paths. The final public manifest contains 287 files and passes all checks with no missing family and no hash mismatch. Its SHA-256"
supplement,6,replace,89-90,89-90,ARTIFACT_PROVENANCE,{\ttfamily\scriptsize 4daa2bf84207feb27e66e7fec3e62ca9\\[-1pt] | 289037c3531d81d9dde29178c77fb7c6},{\ttfamily\scriptsize b4b037a2662554d12e9cb466c811b5a2\\[-1pt] | 14a579846da0be1a47107890f444c303}
supplement,7,delete,92-92,92-91,AFFECTED_EXPERIMENT_UPDATE,"The validation additionally confirms 30,240/30,240 successful multi-selector method runs with zero failures and 20 selector seeds for each of the four datasets.",
supplement,8,replace,106-106,105-105,LAYOUT_ONLY,\renewcommand{\arraystretch}{1.10},\renewcommand{\arraystretch}{1.00}
supplement,9,replace,162-164,161-163,LAYOUT_ONLY,\footnotesize | \setlength{\tabcolsep}{4pt} | \renewcommand{\arraystretch}{1.10},\scriptsize | \setlength{\tabcolsep}{3pt} | \renewcommand{\arraystretch}{1.00}
supplement,10,insert,240-239,239-244,FIXED_POINT_MPC_SYNC,,"Define the public squared-distance bound | \begin{equation} | B_{d,r}:=\operatorname{diam}_2^2(\mathcal X_r)=\begin{cases}D,&\mathcal X_r=[0,1]^D,\\2,&\mathcal X_r=\{\mathbf e_1,\ldots,\mathbf e_D\}.\end{cases} | \label{app:eq:domain-distance-bound} | \end{equation} | The convex hull has the same Euclidean di"
supplement,11,replace,244-244,249-249,FIXED_POINT_MPC_SYNC,"\underline q_{r,\Delta}&:=\min_{0\le d\le D}\DivDet(\tau_{r,\Delta},\tau_{r,\Delta}+d),\\","\underline q_{r,\Delta}&:=\min_{0\le d\le B_{d,r}}\DivDet(\tau_{r,\Delta},\tau_{r,\Delta}+d),\\"
supplement,12,replace,251-251,256-256,FIXED_POINT_MPC_SYNC,"\frac{\tau_{r,\Delta}}{\tau_{r,\Delta}+D}-\varepsilon_{\rm div}\ge\Delta^{-1},","\frac{\tau_{r,\Delta}}{\tau_{r,\Delta}+B_{d,r}}-\varepsilon_{\rm div}\ge\Delta^{-1},"
supplement,13,replace,268-268,273-273,FIXED_POINT_MPC_SYNC,"Soft consistency & $\tau_{r,\Delta}$ & $\tau_{r,\Delta}+d_{i,r,\Delta}^{(k)}\in[\tau_{r,\Delta},\tau_{r,\Delta}+D]$ & $d_{i,r,\Delta}^{(k)}\ge0$ \\","Soft consistency & $\tau_{r,\Delta}$ & $\tau_{r,\Delta}+d_{i,r,\Delta}^{(k)}\in[\tau_{r,\Delta},\tau_{r,\Delta}+B_{d,r}]$ & $d_{i,r,\Delta}^{(k)}\ge0$ \\"
supplement,14,replace,270-270,275-275,FIXED_POINT_MPC_SYNC,"Final/calibration evidence & $\tau_{r,\Delta}$ & $\tau_{r,\Delta}+d_{i,r,\Delta}^{\rm out/cal}\in[\tau_{r,\Delta},\tau_{r,\Delta}+D]$ & final/calibration squared distance is nonnegative \\","Final/calibration evidence & $\tau_{r,\Delta}$ & $\tau_{r,\Delta}+d_{i,r,\Delta}^{\rm out/cal}\in[\tau_{r,\Delta},\tau_{r,\Delta}+B_{d,r}]$ & final/calibration squared distance is nonnegative \\"
supplement,15,replace,279-279,284-284,FIXED_POINT_MPC_SYNC,"&0\le d_{i,r,\Delta}^{(k)}\le D,\\","&0\le d_{i,r,\Delta}^{(k)}\le B_{d,r},\\"
supplement,16,replace,291-291,296-296,FIXED_POINT_MPC_SYNC,"B_r^{\rm state}&:=\left\lceil\Delta\max\{1,D,\tau_{r,\Delta}+D,m_{\max}(1+\epsilon_{c,\Delta})\}\right\rceil,\\","B_r^{\rm state}&:=\left\lceil\Delta\max\{1,B_{d,r},\tau_{r,\Delta}+B_{d,r},m_{\max}(1+\epsilon_{c,\Delta})\}\right\rceil,\\"
supplement,17,replace,325-325,330-330,FIXED_POINT_MPC_SYNC,"L_{\rm Upd,r}^{\rm ref}:=\frac{2\sqrt D(\tau_{r,\Delta}+D)}{\tau_{r,\Delta}^{3/2}},","L_{\rm Upd,r}^{\rm ref}:=\frac{2\sqrt D(\tau_{r,\Delta}+B_{d,r})}{\tau_{r,\Delta}^{3/2}},"
supplement,18,replace,340-340,345-345,FIXED_POINT_MPC_SYNC,"\caption{Default $f=24$, $\epsilon_c=2^{-10}$, $\tau_r=0.2D$ conservative certificate. $\underline q$ uses Eq.~\eqref{app:eq:q-public-gate} with $\varepsilon_{\rm div}=2\Delta^{-1}$; $\underline a$ is downward quantized.}","\caption{Default $f=24$, $\epsilon_c=2^{-10}$ conservative certificate for normalized numerical domains, where $\operatorname{diam}_2^2([0,1]^D)=D$ and hence $\tau_r=0.2D$. $\underline q$ uses Eq.~\eqref{app:eq:q-public-gate} with $\varepsilon_{\rm div}=2\Delta^{-1}$; $\underline a$ is downward quan"
supplement,19,replace,356-356,361-361,FIXED_POINT_MPC_SYNC,"With the global worst-case Lipschitz constant in Eq.~\eqref{app:eq:update-lipschitz}, the recursion reaches the geometric ceiling $\sqrt D$ by the third update for all three dimensions. This provides a sound domain-wide safety envelope, while tighter task-level numerical fidelity is characterized em","For the numerical-domain certificate in Table~\ref{app:tab:default-certificate}, the global worst-case Lipschitz recursion reaches the geometric ceiling $\sqrt D$ by the third update for all three dimensions. Categorical tasks use $B_{d,r}=2$ together with the public geometry-aware value $\tau_r=2\l"
supplement,20,replace,407-407,412-412,FIXED_POINT_MPC_SYNC,"Assume an accepted ordinary task has a nonempty participant set $\mathcal W_r$, reports $\mathbf x_{i,r}\in[0,1]^D$, reputations $c_{i,e}\in[0,1]$, and public parameters $\epsilon_c>0$ and $\tau_r>0$. Then the denominator of Eq.~\eqref{M-eq:exact-initialization} is positive and $\widehat{\mathbf x}_","Assume an accepted ordinary task has a nonempty participant set $\mathcal W_r$, reports $\mathbf x_{i,r}\in\mathcal X_r\subseteq[0,1]^D$, reputations $c_{i,e}\in[0,1]$, and public parameters $\epsilon_c>0$ and $\tau_r>0$. Let $B_{d,r}:=\operatorname{diam}_2^2(\mathcal X_r)$. Then the denominator of "
supplement,21,replace,409-409,414-414,FIXED_POINT_MPC_SYNC,"0\le d_{i,r}^{(k)}\le D,","0\le d_{i,r}^{(k)}\le B_{d,r},"
supplement,22,replace,411-411,416-416,FIXED_POINT_MPC_SYNC,"\frac{\tau_r}{\tau_r+D}\le q_{i,r}^{(k)}\le1,\tag{51}","\frac{\tau_r}{\tau_r+B_{d,r}}\le q_{i,r}^{(k)}\le1,\tag{51}"
supplement,23,replace,421-421,426-426,FIXED_POINT_MPC_SYNC,"Normalizing the positive coefficients therefore makes $\widehat{\mathbf x}_r^{(0)}$ a convex combination of the admitted reports. Every report and every point of their convex hull lies in $[0,1]^D$; hence each coordinate difference has magnitude at most one and $0\le d_{i,r}^{(k)}\le D$. Since $d_{i",Normalizing the positive coefficients therefore makes $\widehat{\mathbf x}_r^{(0)}$ a convex combination of the admitted reports. The diameter of a convex hull equals the diameter of its generating set under the Euclidean norm. Hence every admitted report and every iterate in $\operatorname{conv}(\m
supplement,24,replace,766-767,771-772,AFFECTED_EXPERIMENT_UPDATE,"Full  & 0.1185 [0.1153, 0.1218] & 0.3449 [0.3349, 0.3545] \\ | No-EG & -0.2989 [-0.3100, -0.2864] & 0.0136 [0.0011, 0.0254] \\","Full  & 0.1322 [0.1289, 0.1356] & 0.3449 [0.3349, 0.3545] \\ | No-EG & -0.3693 [-0.3810, -0.3565] & 0.0136 [0.0011, 0.0254] \\"
supplement,25,insert,869-868,874-883,AFFECTED_EXPERIMENT_UPDATE,,\subsection{Reputation-Trajectory Detail} | The main manuscript retains the compact Dog/Weather reputation trajectories needed to establish persistent separation. Fig.~\ref{app:fig:reputation-full} provides the corresponding Full/No-EG honest and malicious mean-reputation views at $\rho_m=0.7$. No-CW 
supplement,26,replace,871-871,886-886,AFFECTED_EXPERIMENT_UPDATE,"The primary malicious-ratio figure uses the fixed selector shared by the paired benchmark evaluation. To quantify uncertainty induced by calibration membership itself, we additionally evaluate 20 independent selector seeds per dataset over the same 378 malicious-subset streams. This produces 7,560 s","The primary malicious-ratio figure uses the fixed selector shared by the paired benchmark evaluation. To quantify uncertainty induced by calibration membership itself, we evaluate 20 independent selector seeds per dataset over the same 378 malicious-subset streams. The final geometry-synchronized st"
supplement,27,replace,877-877,892-892,AFFECTED_EXPERIMENT_UPDATE,\caption{Aggregate stability of the malicious-ratio study over 20 independent hidden-selector seeds per dataset. Mean W/T/L is based on selector-averaged loss in the 20 dataset--ratio cells; Holm W/L counts significant directions after comparator-specific correction.},\caption{Aggregate stability of the geometry-final malicious-ratio study over 20 independent hidden-selector seeds per dataset. Mean W/T/L is based on selector-averaged loss in the 20 dataset--ratio cells; Holm W/L counts significant directions after comparator-specific correction.}
supplement,28,replace,893-893,908-908,AFFECTED_EXPERIMENT_UPDATE,"Duck is the most sensitive finite-sample selector case because the canonical $P=20$ realization contains only four calibration tasks. Across the 20 independent selector seeds, the number selected from the 108 Duck tasks is","Duck remains the most sensitive finite-sample selector case because the canonical $P=20$ realization contains only four calibration tasks. Across the 20 independent selector seeds, the number selected from the 108 Duck tasks is"
supplement,29,replace,897-897,912-912,ARTIFACT_PROVENANCE,"with range 2--11, mean 5.45, and median 4.5. The canonical count of four is therefore not treated as a deterministic property of the dataset. No seed is dropped or replaced, including seeds that produce unfavorable performance. The complete 80-row selector-count table for Product, Duck, Dog, and Wea","with range 2--11, mean 5.45, and median 4.5. No seed is dropped or replaced, including unfavorable seeds. The complete selector-count table, seed-level deltas, nested bootstrap, variance decomposition, merged 30,240-row ledger, and Dog geometry execution record are released with the reproducibility "
supplement,30,replace,899-899,914-914,AFFECTED_EXPERIMENT_UPDATE,"The selector analysis confirms that the main CRH/PPTD advantage persists in aggregate across independent calibration selections. The full cell-level results also identify the single reverse dataset--ratio cell in each comparator family, so the robustness conclusion is stated at the aggregate selecto","The geometry-final selector analysis reproduces the aggregate v1.6 CRH/PPTD stability conclusion without mixing legacy Dog results into the final algorithm version. The full cell-level results retain the single reverse dataset--ratio cell in each comparator family, so the conclusion remains aggregat"
supplement,31,replace,901-902,916-918,AFFECTED_EXPERIMENT_UPDATE,"\subsection{Reputation-Trajectory Detail} | The main manuscript retains the compact Dog/Weather reputation trajectories needed to establish persistent separation. For completeness, Fig.~\ref{app:fig:reputation-full} adds the Full/No-EG gap trajectories and the complete honest/malicious mean-reputation","\subsection{Geometry-Final Parameter Sensitivity Detail} | \label{app:sec:parameter-sensitivity-final} | The one-parameter-at-a-time study uses the same Dog/Weather streams, hidden selector memberships, malicious subsets, and preregistered grids as the earlier evaluation. Dog is recomputed under the fin"
